iter	Passed	Remaining
1228	268007	168131
1229	268188	167890
1230	268481	167719
1231	268724	167516
1232	268959	167308
1233	269250	167136
1234	269504	166940
1235	269807	166774
1236	270055	166574
1237	270270	166353
1238	270468	166123
1239	270663	165890
1240	270922	165697
1241	271114	165462
1242	271311	165231
1243	271560	165031
1244	271701	164766
1245	271971	164579
1246	272186	164359
1247	272387	164130
1248	272634	163929
1249	272862	163717
1250	273084	163501
1251	273324	163295
1252	273569	163093
1253	273768	162863
1254	273948	162622
1255	274121	162377
1256	274363	162173
1257	274641	161990
1258	274848	161765
1259	275109	161571
1260	275309	161343
1261	275486	161100
1262	275748	160907
1263	275922	160663
1264	276119	160433
1265	276319	160204
1266	276524	159978
1267	276780	159781
1268	276996	159562
1269	277183	159326
1270	277387	159099
1271	277567	158859
1272	277679	158580
1273	278024	158434
1274	278270	158232
1275	278462	157998
1276	278638	157756
1277	278850	157535
1278	279102	157336
1279	279396	157160
1280	279619	156945
1281	279834	156724
1282	280027	156492
1283	280267	156286
1284	280548	156102
1285	280776	155889
1286	281020	155685
1287	281203	155447
1288	281395	155214
1289	281659	155022
1290	281860	154794
1291	282145	154612
1292	282362	154393
1293	282638	154206
1294	282929	154027
1295	283132	153800
1296	283377	153596
1297	283593	153376
1298	283790	153146
1299	284084	152968
1300	284268	152731
1301	284463	152500
1302	284669	152275
1303	284857	152040
1304	285358	151972
1305	285591	151761
1306	285761	151516
1307	285983	151300
1308	286251	151107
1309	286470	150889
1310	286752	150703
1311	286986	150492
1312	287189	150265
1313	287378	150031
1314	287576	149802
1315	287886	149631
1316	288105	149412
1317	288287	149174
1318	288508	148957
1319	288745	148747
1320	289104	148601
1321	289314	148377
1322	289572	148178
1323	289800	147964
1324	289978	147724
1325	290272	147544
1326	290568	147364
1327	290885	147195
1328	291114	146981
1329	291294	146742
1330	291581	146557
1331	291799	146337
1332	291979	146099
1333	292164	145863
1334	292368	145636
1335	292554	145401
1336	292844	145217
1337	293062	144998
1338	293254	144765
1339	293471	144545
1340	293639	144301
1341	293991	144147
1342	294231	143939
1343	294466	143727
1344	294692	143511
1345	294912	143293
1346	295252	143132
1347	295456	142906
1348	295677	142687
1349	295952	142495
1350	296183	142281
1351	296491	142105
1352	296681	141872
1353	296892	141648
1354	297093	141421
1355	297292	141192
1356	297483	140959
1357	297767	140770
1358	297965	140541
1359	298118	140291
1360	298310	140059
1361	298504	139828
1362	298675	139586
1363	298934	139385
1364	299160	139169
1365	299389	138955
1366	299659	138759
1367	299849	138526
1368	300186	138361
1369	300378	138130
1370	300567	137897
1371	300825	137695
1372	301060	137483
1373	301649	137432
1374	301842	137201
1375	302032	136968
1376	302336	136787
1377	302577	136576
1378	302868	136389
1379	303063	136158
1380	303245	135922
1381	303431	135687
1382	303626	135457
1383	303952	135285
1384	304227	135090
1385	304402	134850
1386	304570	134608
1387	304760	134375
1388	304952	134143
1389	305178	133927
1390	305435	133724
1391	305634	133495
1392	305912	133301
1393	306132	133081
1394	306455	132907
1395	306655	132679
1396	306919	132478
1397	307106	132244
1398	307279	132005
1399	307466	131771
1400	307805	131602
1401	308039	131389
1402	308239	131161
1403	308470	130946
1404	308689	130726
1405	308978	130535
1406	309211	130321
1407	309425	130099
1408	309675	129892
1409	309887	129669
1410	310195	129486
1411	310399	129260
1412	310584	129025
1413	310772	128792
1414	310950	128555
1415	311129	128319
1416	311395	128118
1417	311629	127904
1418	311849	127684
1419	312086	127471
1420	312308	127253
1421	312637	127077
1422	312842	126851
1423	313042	126623
1424	313288	126414
1425	313455	126173
1426	313735	125977
1427	313998	125775
1428	314172	125537
1429	314372	125309
1430	314545	125070
1431	314799	124864
1432	315122	124685
1433	315341	124465
1434	315555	124243
1435	315725	124003
1436	315905	123768
1437	316159	123561
1438	316400	123350
1439	316572	123111
1440	316781	122887
1441	316969	122655
1442	317127	122411
1443	317457	122234
1444	317701	122023
1445	317974	121824
1446	318173	121596
1447	318396	121377
1448	318876	121256
1449	319075	121028
1450	319273	120800
1451	319465	120569
1452	319653	120337
1453	319841	120105
1454	320093	119897
1455	320284	119666
1456	320457	119429
1457	320650	119199
1458	320831	118964
1459	321018	118732
1460	321326	118545
1461	321504	118310
1462	321766	118105
1463	321939	117868
1464	322126	117636
1465	322345	117416
1466	322661	117231
1467	322881	117011
1468	323081	116784
1469	323290	116560
1470	323527	116346
1471	323839	116159
1472	324057	115939
1473	324293	115724
1474	324524	115508
1475	324743	115288
1476	325050	115099
1477	325277	114881
1478	325506	114664
1479	325714	114440
1480	325878	114200
1481	326030	113956
1482	326288	113749
1483	326477	113519
1484	326705	113301
1485	326956	113092
1486	327096	112844
1487	327261	112606
1488	327575	112418
1489	327832	112210
1490	328070	111997
1491	328236	111758
1492	328396	111518
1493	328634	111304
1494	328877	111092
1495	329052	110857
1496	329228	110622
1497	329419	110392
1498	329609	110163
1499	329948	109982
1500	330185	109768
1501	330428	109556
1502	330641	109333
1503	330840	109106
1504	331194	108931
1505	331372	108697
1506	331562	108467
1507	331785	108248
1508	331932	108004
1509	332185	107795
1510	332521	107612
1511	332711	107383
1512	332983	107179
1513	333223	106965
1514	333467	106753
1515	333777	106562
1516	334049	106358
1517	334298	106147
1518	334466	105910
1519	334632	105673
1520	335112	105535
1521	335289	105301
1522	335446	105060
1523	335640	104832
1524	335838	104605
1525	336092	104395
1526	336431	104212
1527	336639	103988
1528	336841	103762
1529	337019	103528
1530	337268	103317
1531	337611	103134
1532	337850	102919
