iter	MAPE	RMSE	R2	MAE
461	0.08062004153	194292.1978	0.9936134683	89482.74259
462	0.08059711579	194080.1351	0.993627402	89398.72428
463	0.08053408519	193970.0125	0.9936346317	89345.17324
464	0.08048826893	193865.5478	0.9936414861	89301.96839
465	0.08041892504	193660.2953	0.993654943	89176.7266
466	0.08043148056	193532.9477	0.993663285	89146.64393
467	0.08039653028	193443.4878	0.9936691419	89110.48172
468	0.08030843206	193250.4614	0.99368177	88986.20728
469	0.08028008017	193144.1031	0.9936887228	88948.46683
470	0.08022234859	193069.0884	0.9936936243	88908.21975
471	0.08007565567	192882.512	0.993705807	88745.4979
472	0.07993622849	192790.4164	0.9937118161	88722.78304
473	0.07991537693	192731.5063	0.9937156584	88701.89119
474	0.07986567144	192691.9448	0.9937182381	88694.76239
475	0.07971761223	192518.8355	0.9937295198	88653.85055
476	0.07964626352	192384.0766	0.9937382951	88589.52416
477	0.07963672978	192236.8863	0.9937478729	88555.73263
478	0.07959609562	192180.7243	0.9937515255	88512.70846
479	0.07955917302	192056.0791	0.9937596282	88494.78023
480	0.07956370714	192021.4547	0.993761878	88479.90353
481	0.07952577904	191934.2767	0.993767541	88430.39439
482	0.07938882607	191701.0513	0.9937826783	88224.93878
483	0.07935283367	191413.5368	0.9938013139	88073.77565
484	0.07930764162	191207.8821	0.9938146265	88002.70507
485	0.07915479645	191120.8196	0.9938202579	87895.15273
486	0.07911874455	190295.9301	0.9938734871	87703.92883
487	0.07894074842	190173.5455	0.9938813649	87575.84381
488	0.07892987725	190131.8334	0.9938840487	87544.7003
489	0.07890299803	189281.1178	0.993938656	87384.49521
490	0.07890075736	189180.7692	0.9939450812	87378.48113
491	0.0788469472	189069.8207	0.9939521812	87264.08037
492	0.07876609054	188875.7448	0.9939645907	87116.24418
493	0.0787340857	188801.8585	0.9939693117	87037.4718
494	0.07865296169	188620.1013	0.9939809175	86885.15034
495	0.07864737344	188480.2923	0.9939898371	86845.28149
496	0.07859941493	188444.4176	0.9939921248	86842.94964
497	0.07856223718	188417.3344	0.9939938516	86847.75247
498	0.07855369466	188309.9483	0.9940006959	86815.39836
499	0.07853096674	188156.2452	0.9940104854	86763.08647
500	0.07849272899	188116.3852	0.9940130229	86716.00291
